"Subject" "Activity" "FeaturesStdDevMean.names" "tBodyAccMeanX" "tBodyAccMeanY" "tBodyAccMeanZ" "tBodyAccStdX" "tBodyAccStdY" "tBodyAccStdZ" "tGravityAccMeanX" "tGravityAccMeanY" "tGravityAccMeanZ" "tGravityAccStdX" "tGravityAccStdY" "tGravityAccStdZ" "tBodyAccJerkMeanX" "tBodyAccJerkMeanY" "tBodyAccJerkMeanZ" "tBodyAccJerkStdX" "tBodyAccJerkStdY" "tBodyAccJerkStdZ" "tBodyGyroMeanX" "tBodyGyroMeanY" "tBodyGyroMeanZ" "tBodyGyroStdX" "tBodyGyroStdY" "tBodyGyroStdZ" "tBodyGyroJerkMeanX" "tBodyGyroJerkMeanY" "tBodyGyroJerkMeanZ" "tBodyGyroJerkStdX" "tBodyGyroJerkStdY" "tBodyGyroJerkStdZ" "tBodyAccMagMean" "tBodyAccMagStd" "tGravityAccMagMean" "tGravityAccMagStd" "tBodyAccJerkMagMean" "tBodyAccJerkMagStd" "tBodyGyroMagMean" "tBodyGyroMagStd" "tBodyGyroJerkMagMean" "tBodyGyroJerkMagStd" "fBodyAccMeanX" "fBodyAccMeanY" "fBodyAccMeanZ" "fBodyAccStdX" "fBodyAccStdY" "fBodyAccStdZ" "fBodyAccMeanFreqX" "fBodyAccMeanFreqY" "fBodyAccMeanFreqZ" "fBodyAccJerkMeanX" "fBodyAccJerkMeanY" "fBodyAccJerkMeanZ" "fBodyAccJerkStdX" "fBodyAccJerkStdY" "fBodyAccJerkStdZ" "fBodyAccJerkMeanFreqX" "fBodyAccJerkMeanFreqY" "fBodyAccJerkMeanFreqZ" "fBodyGyroMeanX" "fBodyGyroMeanY" "fBodyGyroMeanZ" "fBodyGyroStdX" "fBodyGyroStdY" "fBodyGyroStdZ" "fBodyGyroMeanFreqX" "fBodyGyroMeanFreqY" "fBodyGyroMeanFreqZ" "fBodyAccMagMean" "fBodyAccMagStd" "fBodyAccMagMeanFreq" "fBodyBodyAccJerkMagMean" "fBodyBodyAccJerkMagStd" "fBodyBodyAccJerkMagMeanFreq" "fBodyBodyGyroMagMean" "fBodyBodyGyroMagStd" "fBodyBodyGyroMagMeanFreq" "fBodyBodyGyroJerkMagMean" "fBodyBodyGyroJerkMagStd" "fBodyBodyGyroJerkMagMeanFreq"
"1" "1" "WALKING" NA 0.36562924 -0.016007955155 NA -0.35657301 0.0646192465 NA 0.93970324 -0.25575938 NA -0.97369261 -0.96439894 -0.94369038 0.30433929 NA 0.1925533095 -0.0656736901 NA -0.548868205 -0.23928593 -0.16639856 0.147318135 -0.32354578 -0.15096132 -0.323807285 NA 0.047301289 0.1192156565 NA -0.343385895 -0.48255501 -0.09917383 -0.19904708 NA -0.17036832 -0.115257563 NA -0.209641555 -0.28436434 NA -0.244745185 -0.23040737 0.15668825 -0.32270622 NA -0.017409178 -0.29578483 NA -0.04622987685 0.18865894 -0.0028876409 0.0048931843295 NA -0.28994385 0.032502063 NA -0.232264315 -0.343669515 NA -0.170537818 0.047211246 -0.15772724 -0.52411206 NA -0.464167195 0.08231638 NA -0.043554823 -0.16322391 -0.35949476 0.146908635 -0.17844557 0.059899183 0.217336834 NA -0.354644205 0.315780155 NA -0.348169945 0.21994178
"2" "1" "WALKING" NA 0.33117237 -0.0224217795 NA -0.38576737 0.077206661 NA 0.937114815 -0.287652105 NA -0.929470145 -0.98859597 -0.97181741 -0.04475463965 NA 0.067596955 -0.1292749015 NA -0.565002105 -0.070738847 -0.13098166 0.076249893 -0.39925291 -0.10975341 -0.359695145 NA 0.182520972 0.043320386 NA -0.293452395 -0.40959039 -0.06614758 -0.23152296 NA -0.16479027 -0.186901835 NA -0.215534655 -0.25447801 NA -0.1968405465 -0.15132288 0.24381076 -0.356759545 NA -0.0093760205 -0.28777631 NA 0.238086515 -0.22652212 -0.18017538 0.041509369 -0.53570907 -0.05769916 0.1266078455 NA -0.18055723 -0.304527215 NA -0.25337418 -0.035159614 -0.26451336 -0.553986955 NA -0.47474493 0.024070732 NA -0.109227877 -0.22227743 NA 0.20801152 -0.14943801 0.1255415 0.2224332945 NA -0.361222265 0.304669335 NA -0.314608425 0.21824618
"3" "1" "WALKING" NA 0.1902231 -0.01677906435 -0.1348973 -0.32635456 0.151130915 NA 0.937149705 -0.29276344 NA -0.968928525 -0.98019454 -0.95393986 -0.117664482 NA -0.18035682 -0.1187827035 NA -0.56736069 0.01278096 NA -0.0106466021 -0.44543781 -0.012499815 -0.356707855 NA 0.11413915 -0.07226608255 NA -0.234803535 -0.34387753 -0.085035527 -0.18410253 NA -0.22607388 -0.1527347355 NA -0.21606155 -0.24048439 NA -0.251385015 -0.22580363 0.20032338 -0.355862695 NA 0.0829676475 -0.25711262 NA 0.0075431715 0.039915751 -0.15668855 0.06591193 -0.49894754 -0.011623985 0.096505702 NA -0.26369386 -0.42400127 NA -0.306514905 -0.14616569 -0.13469156 -0.56948441 NA -0.48077178 0.0723411895 NA -0.032611391 -0.15167709 NA 0.19851394 -0.13222215 0.27088039 0.16018331 NA -0.3161852 0.217912785 NA -0.284056145 -0.020913284
"4" "1" "WALKING" NA 0.28618516 -0.030690316 NA -0.33399808 0.11714737 NA 0.91261757 -0.25477781 -0.10153623 -0.9803254 NA -0.89730267 0.01359172 NA -0.02978425 -0.17219386 NA -0.48435335 0.21120057 -0.092500876 0.16310328 NA -0.096169373 -0.3203515 NA -0.0706581425 -0.20808194 -0.080280637 -0.283662235 NA -0.23137492 -0.25172563 NA -0.25303176 -0.214140055 NA 0.0671568655 -0.044636319 -0.20794056 -0.300141965 NA 0.017389 -0.318302815 NA 0.068054597 -0.24038519 -0.2697374 0.12334901005 0.27824252 -0.10923517 -0.05077359675 NA -0.241743375 0.1552863 NA -0.20594022 -0.49202307 0.04344461 -0.40748399 NA -0.32468939 -0.53883268 NA -0.44419698 -0.093225047 NA 0.0249635405 -0.10437689 -0.3381147 0.177309015 NA -0.1616787535 0.0102721405 NA -0.277929535 -0.038943067 -0.30585459 -0.421697815 -0.15164178
"5" "1" "WALKING" NA 0.29672786 -0.0267229325 NA -0.39209972 0.1149795715 NA 0.92130858 -0.24482976 -0.11312103 -0.9645873 NA -0.94589921 -0.1509281205 NA -0.02783108325 -0.10057023 NA -0.47075026 0.096081738 0.03801709 0.068659857 NA -0.093716803 -0.351387295 NA -0.413819955 0.19077019 -0.15870889 -0.346196265 -0.42150795 -0.21440662 -0.18885726 NA -0.22685598 -0.16736638 NA -0.0559342925 -0.16730755 -0.20759636 -0.325002865 NA 0.1574752 -0.32870422 NA 0.068409346745 -0.22692835 NA 0.02666423135 -0.0078754732 -0.035572197 0.020288245 NA -0.162075565 0.0693763375 NA -0.32984158 -0.48990239 0.0096910928 -0.385111325 NA -0.30651477 -0.5325714 NA -0.44583625 -0.11115174 NA -0.033493624 -0.12319532 -0.36597472 0.14218454 NA -0.087891672 0.027219207 NA -0.330904085 0.25132652 -0.30149148 -0.447341775 0.17370926
"6" "1" "WALKING" NA 0.29668098 -0.0047711674 NA -0.346535605 0.120123427 NA 0.929625745 -0.23690505 -0.11871857 -0.982495985 NA -0.96460102 -0.0672786075 NA -0.082777624 -0.2425263 NA -0.36288615 0.0087423875 0.037355536 0.0234433145 NA -0.093510592 -0.33733929 NA 0.03236357 -0.02649704 -0.22956148 -0.34744516 -0.36981311 -0.17975024 -0.23753368 NA -0.27428713 -0.1406323905 NA -0.15114542 -0.25609966 -0.12532014 -0.35371928 NA 0.17801305 -0.371791775 NA 0.01521898 -0.24801824 NA 0.096268105 -0.19592608 0.066027049 0.1052206395 NA -0.184069905 0.052870412 NA -0.25022604 -0.40132381 -0.23588653 -0.40942107 -0.19802441 -0.24868054 -0.502838795 NA -0.453854805 -0.068124559 NA -0.092334601 -0.20002501 -0.39780987 0.10883099 NA -0.052809338 0.08728842815 NA -0.372742535 0.34663422 NA -0.34327165 0.24430554
"7" "1" "WALKING" NA 0.27330795 0.0050773114 NA -0.348754235 0.0993268315 NA 0.93080361 -0.26205559 -0.11936097 -0.98532027 -0.92892805 -0.95350698 0.285670075 NA -0.063150805 -0.179687385 NA -0.50877689 -0.0425566 -0.11328689 0.0938268765 NA -0.051536984 -0.308499035 NA -0.1275126515 -0.25061744 NA -0.20970592 -0.34254219 -0.094590586 -0.245809875 NA -0.259534215 -0.104203694 NA -0.135699475 -0.24908129 -0.081850123 -0.304133895 NA -0.0077439433 -0.34108258 NA -0.00557673 -0.27351147 NA 0.141033795 -0.18682198 0.040285923 0.116251048 NA -0.23859769 0.039759088 NA -0.037152468 -0.45231664 -0.24221289 -0.331621275 -0.24583137 -0.27270572 -0.54357279 NA -0.42152377 -0.030264082 NA 0.0545366855 -0.14847221 -0.3467188 0.191654042 NA -0.081674088 -0.0290589295 NA -0.35013022 0.38746429 NA -0.29928542 0.26278644
"8" "1" "WALKING" NA 0.23887121 -0.0131229464 NA -0.353152415 0.1086265645 NA 0.932457035 -0.25580058 -0.11501664 -0.987501095 -0.91749933 -0.95040165 0.074114482 NA 0.04940458 -0.147602665 NA -0.499572265 -0.037246509 -0.017254519 0.102724674 NA -0.069983479 -0.32833801 NA -0.202083265 -0.21212991 NA -0.156681232 -0.31157714 -0.069870597 -0.203235735 NA -0.27181275 -0.1168893725 NA -0.142147845 -0.22792935 -0.23297536 -0.36213144 -0.26090491 -0.0011216796 -0.32044862 NA -0.010602925 -0.23893219 NA 0.1789441365 0.13265712 -0.1238168 0.0792667465 NA -0.058604102 0.165605007 NA -0.122544499 -0.44968906 NA -0.327339725 -0.2081588 -0.21724371 -0.569141785 NA -0.409472825 -0.0336619935 NA -0.1269372585 -0.11082694 -0.40281156 0.260125415 NA -0.097674586 0.04225125685 NA -0.305896425 0.32371726 NA -0.29286712 0.41518644
"9" "1" "WALKING" NA 0.2408087 -0.020501225 NA -0.2890912 0.15700973 NA 0.937962585 -0.25466811 NA -0.960083735 -0.95613091 -0.94432639 -0.19409822 NA 0.125802455 -0.0802851515 NA -0.48399802 -0.016108606 -0.030553043 0.11153972 NA -0.13913874 -0.330780295 NA 0.156743805 -0.0711413135 NA -0.20465144 -0.41834914 -0.084849247 -0.177344205 NA -0.247324985 -0.14569049 NA -0.181605915 -0.25342387 -0.28215126 -0.376162355 -0.15111525 0.036716416 -0.353646245 NA -0.0483402615 -0.25996413 NA 0.367170835 0.075798266 0.0042776136 0.01310851 NA -0.23527207 0.14124 NA -0.09131364855 -0.48538218 NA -0.338438205 0.026553035 -0.19843654 -0.55504161 NA -0.448664495 -0.0769413165 NA 0.0231250115 -0.25871717 -0.44558689 0.165471395 -0.15404481 -0.0087248183 0.0637464075 NA -0.30632129 0.2806556 NA -0.376522845 0.33535697
"10" "1" "WALKING" NA NA -0.0183436065 -0.11964696 NA 0.189042115 -0.28437131 0.9305479 -0.287562235 NA -0.98925391 -0.977438255 NA -0.198542585 0.17500548 -0.15470397 -0.0183776505 NA -0.48423077 -0.00938097 NA 0.0686480945 -0.481326655 NA -0.304943485 -0.075668238 -0.33696856 -0.0618684535 NA -0.38170323 -0.40952268 NA -0.210116825 -0.10747234 -0.21123385 -0.127994144 -0.1985903 -0.21276391 -0.24530548 NA -0.4025456 -0.231953235 NA -0.30473729 -0.26347693 0.12429266 -0.25081456 NA 0.10136387 0.180104464 NA -0.0629327875 -0.49953681 NA 0.1280429165 -0.55284935 -0.15860555 -0.24615095 NA -0.309609555 -0.1029179 NA -0.48542704 -0.12194059 -0.46740667 -0.03423343025 -0.23315776 -0.037141305 -0.066623467 NA 0.175065806 -0.05469491795 NA 0.28386875 -0.17453126 -0.29442901 0.343589075 NA -0.29858045 0.17284233
